dataset_id,beta,train_mse,train_acc_realistic,train_acc_optimistic,train_target_rate,num_adversaries
5,0.10000,7442.162109,0.310345,0.000000,0.000000,7
5,0.05000,6277.421387,0.310345,1.000000,0.000000,0
5,0.01000,589.324646,0.310345,1.000000,0.000000,0
5,0.00500,6.345574,0.103448,0.000000,0.000000,7
5,0.00100,1319.382568,0.310345,0.000000,0.000000,7
5,0.00050,528.870300,0.310345,1.000000,0.000000,0
5,0.00010,0.064472,0.000000,0.793103,0.000000,1
5,0.00001,0.113460,0.241379,0.103448,0.000000,7
6,0.10000,0.072844,0.308594,0.910156,0.484606,25
6,0.05000,0.043074,0.113281,0.943359,0.943390,5
6,0.01000,0.298997,0.378906,0.726562,0.466402,30
6,0.00500,0.158038,0.416016,0.714844,0.223807,64
6,0.00100,0.443965,0.343750,0.941406,0.000000,28
6,0.00050,0.355502,0.289062,0.777344,0.000000,42
6,0.00010,0.612284,0.341797,0.744141,0.000000,60
6,0.00001,0.256101,0.101562,0.460938,0.903203,117
8,0.10000,0.929817,0.234375,0.889323,0.971684,17
8,0.05000,0.128565,0.252604,0.915365,0.996554,6
8,0.01000,0.578952,0.250000,0.977865,0.996630,7
8,0.00500,0.014060,0.256510,0.996094,1.000000,0
8,0.00100,0.007828,0.252604,0.916667,0.942437,5
8,0.00050,0.051547,0.256510,1.000000,1.000000,0
8,0.00010,0.024915,0.256510,0.873698,0.983928,4
8,0.00001,0.287739,0.253906,0.684896,0.944430,45
20,0.10000,0.137638,0.468750,0.750434,0.470516,7
20,0.05000,0.161331,0.520833,0.909722,0.972768,45
20,0.01000,0.214824,0.083767,0.920139,0.468783,47
20,0.00500,0.183062,0.196615,0.943142,0.894112,22
20,0.00100,0.183028,0.046007,0.954861,0.198834,4
20,0.00050,0.303629,0.018229,0.888021,0.400374,2
20,0.00010,1.097891,0.592882,0.993056,0.996223,2
20,0.00001,0.746129,0.018663,0.996962,0.166667,2
21,0.10000,1.526918,0.496094,1.000000,1.000000,0
21,0.05000,2.434968,0.496094,1.000000,1.000000,0
21,0.01000,2.322119,0.496094,1.000000,1.000000,0
21,0.00500,0.374012,0.496094,1.000000,1.000000,0
21,0.00100,0.005578,0.496094,1.000000,1.000000,0
21,0.00050,0.001163,0.496094,1.000000,1.000000,0
21,0.00010,0.017208,0.496094,1.000000,1.000000,0
21,0.00001,0.052376,0.496094,1.000000,1.000000,0
40,0.10000,137.438843,0.085714,0.771429,0.000000,1
40,0.05000,132.613800,0.171429,0.314286,0.000000,2
40,0.01000,169.294800,0.085714,0.457143,0.000000,7
40,0.00500,424.755768,0.171429,0.000000,0.000000,9
40,0.00100,853.465088,0.085714,0.142857,0.000000,7
40,0.00050,370.731659,0.171429,0.000000,0.000000,12
40,0.00010,381.546967,0.085714,0.828571,0.000000,0
40,0.00001,32.705143,0.171429,0.000000,0.000000,10
80,0.10000,42.039547,0.500000,0.000000,0.000000,13
80,0.05000,115.253792,0.500000,0.000000,0.000000,13
80,0.01000,31.187105,0.500000,0.000000,0.000000,13
80,0.00500,9.637798,0.500000,1.000000,1.000000,0
80,0.00100,5.092237,0.500000,1.000000,1.000000,0
80,0.00050,104.004417,0.500000,0.000000,0.000000,13
80,0.00010,171.198318,0.500000,0.000000,0.000000,13
80,0.00001,0.671047,0.500000,1.000000,1.000000,0
86,0.10000,0.115865,0.098958,0.966146,0.927812,4
86,0.05000,0.780916,0.072917,0.656250,0.557065,10
86,0.01000,0.057411,0.065104,0.934896,0.875037,6
86,0.00500,0.196539,0.109375,0.966146,0.913164,3
86,0.00100,0.401219,0.111979,0.734375,0.783862,8
86,0.00050,0.155895,0.104167,0.867188,0.814966,2
86,0.00010,0.460301,0.098958,0.945312,0.883868,2
86,0.00001,0.204455,0.104167,0.973958,0.985372,0
99,0.10000,0.125383,0.513672,1.000000,1.000000,0
99,0.05000,0.450130,0.513672,1.000000,1.000000,0
99,0.01000,0.220554,0.513672,1.000000,1.000000,0
99,0.00500,0.209973,0.513672,1.000000,1.000000,0
99,0.00100,1.593600,0.513672,1.000000,1.000000,0
99,0.00050,0.446980,0.513672,1.000000,1.000000,0
99,0.00010,0.057556,0.513672,1.000000,1.000000,0
99,0.00001,0.070316,0.513672,1.000000,1.000000,0
108,0.10000,16.813362,0.488281,0.000000,1.000000,131
108,0.05000,1.177061,0.464844,0.625000,1.000000,71
108,0.01000,131.813293,0.488281,0.000000,1.000000,131
108,0.00500,261.074554,0.488281,0.851562,1.000000,31
108,0.00100,45.942963,0.488281,0.609375,1.000000,58
108,0.00050,0.019876,0.511719,1.000000,0.000000,0
108,0.00010,0.589568,0.398438,0.449219,0.645961,85
108,0.00001,85.547241,0.488281,0.000000,1.000000,131
21,0.10000,2.434801,0.496094,1.000000,1.000000,0
21,0.05000,2.431510,0.496094,1.000000,1.000000,0
21,0.01000,1.807545,0.496094,1.000000,1.000000,0
21,0.00500,1.131449,0.496094,1.000000,1.000000,0
21,0.00100,0.002789,0.496094,1.000000,1.000000,0
21,0.00050,0.006355,0.496094,1.000000,1.000000,0
21,0.00010,0.020367,0.496094,1.000000,1.000000,0
21,0.00001,0.074759,0.496094,1.000000,1.000000,0
